Initial Pulse (μs),Reflected Pulse μs,L and C number,Uncertainty in oscillosope zoom (V),Uncertainty in time (s)
0,136,disconnected,2,0.0000000102
0,136,41,2,0.0000000102
0,135.8,40,2,0.00000001019
0,130.6,39,2,0.00000000993
0,128,38,2,0.0000000098
0,123.7,36,2,0.000000009585
0,114.02,34,2,0.000000009101
0,107.58,32,2,0.000000008779
0,99.22,30,2,0.000000008361
0,91.62,28,2,0.000000007981
0,87.02,26,2,0.000000007751
0,80.78,24,2,0.000000007439
0,71.78,22,2,0.000000006989
0,63.5,20,2,0.000000006575
0,56.32,18,2,0.000000006216
0,48.68,16,2,0.000000005834
0,40.54,14,2,0.000000005427
0,33.44,12,2,0.000000005072
0,27,10,2,0.00000000475
0,20.76,8,2,0.000000004438
0,14.18,6,2,0.000000004109
0,11.86,5,2,0.000000003993
0,8.46,4,2,0.000000003823
0,5.38,3,2,0.000000003669
0,2.14,2,2,0.000000003507
0,0,1,2,0.0000000034