Voltage (V),Current (muA),Voltage (V),Current (muA)
0.406,0.04,0.002203,0.05008
0.593,0.05,0.0022965,0.0501
0.754,0.06,0.002377,0.05012
0.785,0.07,0.0023925,0.05014
0.995,0.09,0.0024975,0.05018
0.996,0.09,0.002498,0.05018
1.039,0.1,0.0025195,0.0502
1.218,0.14,0.002609,0.05028
1.243,0.16,0.0026215,0.05032
1.323,0.31,0.0026615,0.05062
1.417,1.31,0.0027085,0.05262
1.432,1.68,0.002716,0.05336
1.472,3.58,0.002736,0.05716
1.482,4.28,0.002741,0.05856
1.528,9.84,0.002764,0.06968
1.567,18.64,0.0027835,0.08728
1.629,43.58,0.0028145,0.13716
1.653,56.62,0.0028265,0.16324
1.72,94.65,0.00286,0.2393
1.73,107.74,0.002865,0.26548
1.826,182.59,0.002913,0.41518
1.83,184.98,0.002915,0.41996
1.91,253.42,0.002955,0.55684
1.92,261.05,0.00296,0.5721
2.013,343.2,0.0030065,1.1864